match_id, team_name, player_name, kills, assists, flash_assists, deaths, kd_ratio, kd_diff, adr, fk_dif, rating
77685, Sparta, equal, 25, 4, 1, 17, 0.69, 8, 87.0, 8, 1.23
77685, Sparta, Koshak, 21, 6, 0, 19, 0.69, 2, 95.8, 2, 1.13
77685, Sparta, Ethan, 18, 6, 2, 21, 0.66, -3, 69.3, -3, 0.93
77685, Sparta, V4D1M, 16, 0, 0, 20, 0.69, -4, 45.7, -4, 0.73
77685, Sparta, nightsama, 12, 0, 0, 22, 0.59, -10, 45.8, -10, 0.62
77685, 5POWER, QKA, 27, 0, 0, 15, 0.76, 12, 87.8, 12, 1.42
77685, 5POWER, dobu, 21, 8, 0, 20, 0.72, 1, 95.4, 1, 1.24
77685, 5POWER, shuadapai, 21, 2, 0, 17, 0.62, 4, 69.5, 4, 1.17
77685, 5POWER, kabal, 17, 4, 0, 21, 0.76, -4, 64.9, -4, 1.01
77685, 5POWER, xiaosaGe, 13, 4, 2, 19, 0.62, -6, 55.2, -6, 0.80
77690, Sparta, V4D1M, 22, 6, 0, 11, 0.62, 11, 106.6, 11, 1.55
77690, Sparta, Koshak, 23, 0, 0, 11, 0.79, 12, 97.6, 12, 1.55
77690, Sparta, nightsama, 21, 5, 1, 14, 0.75, 7, 82.3, 7, 1.32
77690, Sparta, equal, 12, 3, 0, 16, 0.79, -4, 50.8, -4, 0.88
77690, Sparta, Ethan, 11, 4, 2, 16, 0.71, -5, 49.6, -5, 0.71
77690, 5POWER, kabal, 17, 3, 0, 18, 0.58, -1, 84.2, -1, 1.01
77690, 5POWER, xiaosaGe, 11, 4, 0, 16, 0.62, -5, 53.5, -5, 0.93
77690, 5POWER, dobu, 14, 6, 1, 18, 0.62, -4, 80.4, -4, 0.93
77690, 5POWER, shuadapai, 15, 3, 0, 19, 0.58, -4, 56.8, -4, 0.82
77690, 5POWER, QKA, 11, 2, 1, 18, 0.46, -7, 52.0, -7, 0.62
77683, Vindicta, LenNe, 25, 3, 1, 22, 0.77, 3, 94.9, 3, 1.27
77683, Vindicta, Dark, 22, 5, 0, 22, 0.67, 0, 88.2, 0, 1.17
77683, Vindicta, Egoist, 21, 2, 1, 19, 0.7, 2, 68.8, 2, 1.04
77683, Vindicta, MyeHvz, 17, 3, 1, 18, 0.73, -1, 55.7, -1, 0.95
77683, Vindicta, StyroN, 15, 5, 2, 18, 0.7, -3, 55.4, -3, 0.94
77683, TNC, witz, 26, 5, 3, 17, 0.8, 9, 85.0, 9, 1.37
77683, TNC, Papichulo, 18, 4, 0, 20, 0.67, -2, 65.2, -2, 0.96
77683, TNC, BORKUM, 21, 2, 0, 21, 0.73, 0, 71.0, 0, 0.95
77683, TNC, kenzyy, 18, 3, 1, 22, 0.73, -4, 68.4, -4, 0.93
77683, TNC, Pro., 16, 9, 3, 21, 0.73, -5, 63.1, -5, 0.84
77688, Vindicta, MyeHvz, 26, 5, 2, 18, 0.86, 8, 92.0, 8, 1.36
77688, Vindicta, Egoist, 27, 0, 0, 19, 0.76, 8, 92.0, 8, 1.34
77688, Vindicta, Dark, 22, 2, 0, 20, 0.72, 2, 78.0, 2, 1.21
77688, Vindicta, StyroN, 17, 2, 0, 20, 0.76, -3, 71.4, -3, 0.92
77688, Vindicta, LenNe, 12, 5, 0, 22, 0.69, -10, 57.1, -10, 0.78
77688, TNC, witz, 27, 6, 2, 19, 0.69, 8, 88.4, 8, 1.33
77688, TNC, BORKUM, 21, 6, 0, 23, 0.79, -2, 81.3, -2, 1.15
77688, TNC, Pro., 21, 5, 0, 20, 0.83, 1, 69.0, 1, 1.07
77688, TNC, Papichulo, 19, 3, 0, 21, 0.76, -2, 67.7, -2, 1.05
77688, TNC, kenzyy, 11, 8, 2, 22, 0.59, -11, 57.8, -11, 0.72
77691, Vindicta, Egoist, 25, 4, 1, 20, 0.6, 5, 88.2, 5, 1.24
77691, Vindicta, LenNe, 21, 4, 0, 24, 0.67, -3, 83.0, -3, 1.04
77691, Vindicta, StyroN, 17, 2, 0, 19, 0.6, -2, 57.3, -2, 0.84
77691, Vindicta, Dark, 19, 1, 0, 24, 0.6, -5, 58.9, -5, 0.82
77691, Vindicta, MyeHvz, 11, 3, 0, 26, 0.47, -15, 60.3, -15, 0.47
77691, TNC, kenzyy, 25, 3, 0, 17, 0.7, 8, 90.7, 8, 1.32
77691, TNC, witz, 26, 1, 0, 16, 0.77, 10, 80.2, 10, 1.29
77691, TNC, Papichulo, 23, 5, 0, 22, 0.8, 1, 85.8, 1, 1.13
77691, TNC, Pro., 19, 4, 1, 18, 0.8, 1, 69.4, 1, 1.12
77691, TNC, BORKUM, 19, 7, 0, 20, 0.7, -1, 81.2, -1, 1.10
77680, BOOT-d[S], moxie, 17, 6, 3, 20, 0.71, -3, 77.3, -3, 0.93
77680, BOOT-d[S], Bobosaur, 14, 1, 0, 19, 0.62, -5, 60.7, -5, 0.84
77680, BOOT-d[S], Tommy, 14, 1, 0, 20, 0.54, -6, 68.7, -6, 0.74
77680, BOOT-d[S], splashske, 12, 2, 0, 20, 0.54, -8, 60.2, -8, 0.65
77680, BOOT-d[S], ImpressioN, 10, 3, 0, 22, 0.46, -12, 51.3, -12, 0.57
77680, Beyond, Olivia, 28, 2, 0, 13, 1, 15, 119.8, 15, 1.87
77680, Beyond, Geniuss, 23, 5, 0, 12, 0.79, 11, 111.4, 11, 1.70
77680, Beyond, TOR, 22, 4, 2, 17, 0.88, 5, 101.6, 5, 1.53
77680, Beyond, stk, 15, 4, 2, 13, 0.75, 2, 56.5, 2, 1.11
77680, Beyond, cbbk, 13, 2, 1, 13, 0.83, 0, 47.7, 0, 1.00
77689, BOOT-d[S], splashske, 29, 2, 0, 20, 0.69, 9, 86.2, 9, 1.30
77689, BOOT-d[S], ImpressioN, 20, 9, 1, 22, 0.76, -2, 92.4, -2, 1.11
77689, BOOT-d[S], moxie, 15, 6, 2, 18, 0.72, -3, 63.3, -3, 0.84
77689, BOOT-d[S], Bobosaur, 13, 5, 1, 20, 0.66, -7, 50.3, -7, 0.74
77689, BOOT-d[S], Tommy, 15, 4, 0, 26, 0.55, -11, 74.3, -11, 0.71
77689, Beyond, Olivia, 28, 7, 0, 23, 0.79, 5, 86.4, 5, 1.37
77689, Beyond, TOR, 22, 2, 1, 18, 0.72, 4, 80.2, 4, 1.22
77689, Beyond, Geniuss, 21, 3, 0, 17, 0.72, 4, 70.5, 4, 1.10
77689, Beyond, cbbk, 18, 5, 0, 17, 0.72, 1, 75.6, 1, 1.06
77689, Beyond, stk, 17, 7, 0, 17, 0.79, 0, 72.1, 0, 1.05
77679, Absolute, barce, 28, 1, 0, 21, 0.71, 7, 98.2, 7, 1.51
77679, Absolute, Reita, 24, 2, 0, 19, 0.82, 5, 90.8, 5, 1.32
77679, Absolute, Laz, 18, 2, 0, 17, 0.79, 1, 61.9, 1, 1.02
77679, Absolute, crow, 17, 6, 3, 16, 0.68, 1, 68.1, 1, 1.01
77679, Absolute, takej, 15, 4, 1, 22, 0.68, -7, 62.2, -7, 0.83
77679, Storm Rider, neuz, 23, 5, 1, 21, 0.68, 2, 99.0, 2, 1.28
77679, Storm Rider, nin9, 22, 2, 0, 19, 0.64, 3, 89.6, 3, 1.21
77679, Storm Rider, Tsogoo, 22, 2, 0, 20, 0.79, 2, 67.9, 2, 1.08
77679, Storm Rider, ncl, 13, 7, 1, 20, 0.71, -7, 65.9, -7, 0.81
77679, Storm Rider, maaRaa, 14, 3, 1, 22, 0.43, -8, 49.8, -8, 0.60
77686, Absolute, Reita, 24, 4, 1, 18, 0.71, 6, 107.5, 6, 1.40
77686, Absolute, crow, 16, 4, 1, 18, 0.75, -2, 72.1, -2, 0.96
