match_id,team_name,player_name,K,hs,A,f,D,KAST,KD_diff,ADR,fk_dif,rating
78555, TYLOO, BnTeT, 11, 5, 1, 0, 17, 61.1, -6, 69.3, 0, 0.69
78555, TYLOO, somebody, 9, 2, 1, 1, 17, 50.0, -8, 46.9, 0, 0.56
78555, TYLOO, DD, 6, 3, 1, 0, 17, 44.4, -11, 43.4, +1, 0.51
78555, TYLOO, captainMo, 6, 3, 4, 1, 16, 50.0, -10, 56.9, -5, 0.48
78555, TYLOO, xccurate, 5, 4, 2, 1, 16, 38.9, -11, 32.7, -2, 0.42
78555, BIG, nex, 18, 12, 6, 2, 5, 88.9, +13, 93.2, +1, 1.71
78555, BIG, smooya, 17, 5, 5, 1, 12, 94.4, +5, 105.5, +3, 1.63
78555, BIG, gob b, 17, 8, 3, 1, 7, 88.9, +10, 94.2, +2, 1.55
78555, BIG, tabseN, 16, 4, 3, 0, 8, 83.3, +8, 93.0, 0, 1.53
78555, BIG, tiziaN, 15, 8, 6, 2, 5, 94.4, +10, 91.9, 0, 1.46
78564, TYLOO, xccurate, 8, 2, 2, 0, 14, 58.8, -6, 63.6, +3, 0.73
78564, TYLOO, DD, 9, 5, 3, 0, 17, 58.8, -8, 80.5, +2, 0.69
78564, TYLOO, BnTeT, 11, 6, 2, 0, 14, 58.8, -3, 64.8, -2, 0.67
78564, TYLOO, somebody, 8, 3, 2, 0, 16, 58.8, -8, 62.5, -3, 0.50
78564, TYLOO, captainMo, 3, 0, 1, 0, 16, 41.2, -13, 36.2, -1, 0.27
78564, BIG, nex, 29, 16, 3, 1, 5, 100.0, +24, 146.2, +2, 2.66
78564, BIG, tabseN, 21, 13, 4, 1, 6, 94.1, +15, 130.6, +2, 2.20
78564, BIG, smooya, 12, 5, 4, 2, 6, 88.2, +6, 71.8, -1, 1.45
78564, BIG, tiziaN, 10, 6, 4, 2, 10, 82.4, 0, 69.8, +2, 1.13
78564, BIG, gob b, 5, 2, 3, 2, 12, 88.2, -7, 33.0, -4, 0.88
78547, NRG, nahtE, 23, 14, 6, 0, 15, 74.1, +8, 99.7, +4, 1.47
78547, NRG, CeRq, 22, 5, 2, 1, 13, 70.4, +9, 85.7, +2, 1.28
78547, NRG, Brehze, 20, 12, 4, 3, 16, 70.4, +4, 87.6, +1, 1.23
78547, NRG, daps, 15, 6, 3, 0, 19, 70.4, -4, 63.2, -3, 0.84
78547, NRG, FugLy, 10, 4, 2, 0, 15, 70.4, -5, 45.0, +1, 0.79
78547, Virtus.pro, MICHU, 20, 12, 1, 0, 19, 70.4, +1, 73.6, +2, 1.08
78547, Virtus.pro, snatchie, 15, 5, 6, 1, 18, 70.4, -3, 68.1, -1, 1.00
78547, Virtus.pro, morelz, 16, 8, 3, 1, 18, 74.1, -2, 62.8, -4, 0.98
78547, Virtus.pro, NEO, 15, 7, 4, 2, 16, 66.7, -1, 65.5, -1, 0.94
78547, Virtus.pro, pashaBiceps, 12, 6, 4, 2, 19, 44.4, -7, 45.2, -1, 0.67
78551, NRG, Brehze, 21, 17, 4, 0, 12, 87.0, +9, 101.5, +4, 1.60
78551, NRG, nahtE, 21, 14, 4, 1, 13, 69.6, +8, 94.3, -1, 1.45
78551, NRG, CeRq, 20, 5, 3, 2, 12, 73.9, +8, 79.9, -1, 1.35
78551, NRG, FugLy, 20, 13, 2, 0, 14, 78.3, +6, 93.3, +1, 1.32
78551, NRG, daps, 13, 7, 5, 1, 14, 78.3, -1, 62.6, -2, 0.93
78551, Virtus.pro, snatchie, 19, 3, 4, 0, 17, 69.6, +2, 86.3, +4, 1.17
78551, Virtus.pro, pashaBiceps, 17, 6, 4, 1, 19, 60.9, -2, 82.4, -3, 0.98
78551, Virtus.pro, MICHU, 12, 8, 2, 0, 20, 60.9, -8, 58.0, 0, 0.76
78551, Virtus.pro, NEO, 11, 2, 2, 0, 19, 39.1, -8, 56.0, -1, 0.54
78551, Virtus.pro, morelz, 6, 4, 2, 0, 20, 43.5, -14, 52.4, -1, 0.38
78583, OpTic, cajunb, 27, 14, 2, 0, 19, 82.8, +8, 101.2, +3, 1.48
78583, OpTic, k0nfig, 24, 15, 3, 0, 21, 86.2, +3, 86.9, +1, 1.32
78583, OpTic, Snappi, 20, 13, 2, 0, 16, 82.8, +4, 72.0, +1, 1.12
78583, OpTic, JUGi, 17, 2, 2, 0, 13, 79.3, +4, 59.4, +1, 1.09
78583, OpTic, niko, 17, 6, 3, 1, 19, 62.1, -2, 69.6, +1, 0.96
78583, ENCE, xseveN, 19, 8, 4, 0, 23, 79.3, -4, 78.3, +3, 1.01
78583, ENCE, allu, 22, 8, 2, 1, 20, 62.1, +2, 75.9, -1, 0.97
78583, ENCE, Aleksib, 16, 10, 7, 2, 19, 58.6, -3, 70.8, -2, 0.90
78583, ENCE, Aerial, 16, 4, 5, 0, 21, 62.1, -5, 69.9, -3, 0.84
78583, ENCE, sergej, 15, 9, 4, 0, 22, 69.0, -7, 60.8, -4, 0.78
78584, OpTic, niko, 23, 12, 2, 0, 20, 70.4, +3, 86.0, +1, 1.14
78584, OpTic, JUGi, 17, 5, 5, 1, 19, 77.8, -2, 75.4, 0, 1.07
78584, OpTic, cajunb, 19, 5, 1, 0, 19, 63.0, 0, 71.0, +1, 1.02
78584, OpTic, Snappi, 15, 7, 3, 2, 17, 63.0, -2, 53.7, -1, 0.88
78584, OpTic, k0nfig, 13, 8, 3, 0, 23, 55.6, -10, 66.2, -2, 0.70
78584, ENCE, sergej, 26, 16, 6, 0, 18, 70.4, +8, 104.4, 0, 1.41
78584, ENCE, allu, 25, 7, 4, 1, 17, 88.9, +8, 76.5, +5, 1.37
78584, ENCE, Aleksib, 20, 6, 3, 0, 16, 70.4, +4, 74.6, 0, 1.15
78584, ENCE, xseveN, 13, 8, 8, 2, 18, 85.2, -5, 60.7, -1, 0.98
78584, ENCE, Aerial, 14, 7, 5, 0, 18, 74.1, -4, 62.7, -3, 0.86
