match_id,team_name,kills,headshots,assists,flash_assists,deaths,kd_ratio,kd_diff,adr,fk_dif,rating,tier
65393,C4,8.6,8.6,3.0,2.4,0.4,16.8,56.8,-8.2,56.8,-2.2,T6
65394,TeamOne,17.6,17.6,6.8,3.6,1.6,10.2,76.2,7.4,87.0,3.0,T4
65394,eUnited,10.2,10.2,5.2,2.8,1.0,17.6,48.6,-7.4,58.9,-3.0,T4
65395,C4,9.2,9.2,4.0,1.8,0.2,17.8,51.0,-8.6,54.1,-2.4,T6
65395,FURIA,17.8,17.8,7.2,3.2,0.4,9.2,85.0,8.6,91.0,2.4,T4
65396,TeamOne,18.6,18.6,7.6,3.2,0.2,9.8,83.6,8.8,89.6,0.8,T4
65396,eUnited,9.8,9.8,4.6,2.0,0.8,18.6,44.5,-8.8,49.2,-0.8,T4
65397,YeaH!,22.0,22.0,9.4,6.6,1.0,19.6,76.7,2.4,80.6,0.8,T5
65397,Wild,19.6,19.6,9.2,4.4,1.0,22.0,62.7,-2.4,72.0,-0.8,T4
65398,Vikings,9.6,9.6,5.4,2.6,1.2,17.2,51.6,-7.6,63.0,-1.4,T5
65398,Fam143,17.2,17.2,7.6,4.8,0.4,9.6,80.0,7.6,92.1,1.4,T6
65399,Vikings,15.6,15.6,6.6,2.6,0.0,17.4,69.2,-1.8,73.5,-1.2,T5
65399,Fam143,17.2,17.2,8.0,3.2,0.4,15.6,72.5,1.6,75.4,1.2,T6
65400,Wild,19.2,19.2,9.6,3.8,1.8,20.6,65.3,-1.4,72.6,0.8,T4
65400,YeaH!,20.6,20.6,8.8,6.4,1.6,19.2,72.7,1.4,73.2,-0.8,T5
65401,Chiefs,7.6,7.6,2.8,2.6,0.2,16.2,50.0,-8.6,57.9,-1.6,T4
65401,Grayhound,16.2,16.2,8.8,4.4,1.8,7.6,90.0,8.6,91.5,1.6,T4
65402,Chiefs,11.8,11.8,5.0,3.0,0.8,17.8,61.8,-6.0,65.0,-2.0,T4
65402,Grayhound,17.8,17.8,7.8,4.0,0.8,11.8,81.8,6.0,85.5,2.0,T4
65404,Legacy,17.0,17.0,6.0,4.2,1.4,19.8,70.4,-2.8,69.5,1.0,T5
65404,ORDER,19.8,19.8,8.8,3.2,0.4,17.0,72.6,2.8,80.4,-1.0,T4
65405,Legacy,10.6,10.6,5.2,3.2,0.4,17.2,54.5,-6.6,58.2,-1.2,T5
65405,ORDER,17.2,17.2,8.0,3.8,1.0,10.6,79.1,6.6,84.8,1.2,T4
65406,AGO,19.0,19.0,7.2,4.6,0.6,15.8,75.4,3.2,76.7,0.4,T4
65406,ALTERNATE aTTaX,15.8,15.8,9.4,2.8,0.6,19.0,64.6,-3.2,69.0,-0.4,T4
65407,AGO,15.6,15.6,7.2,3.8,0.4,19.4,57.7,-3.8,72.2,-0.4,T4
65407,ALTERNATE aTTaX,19.4,19.4,8.0,5.0,1.4,15.6,73.1,3.8,78.4,0.4,T4
65408,AGO,23.6,23.6,12.6,4.6,1.2,22.6,69.1,1.0,73.9,-0.2,T4
65408,ALTERNATE aTTaX,22.6,22.6,9.0,5.2,1.6,23.8,65.1,-1.2,71.1,0.2,T4
65410,GODSENT,18.0,18.0,9.4,5.8,1.6,13.4,76.4,4.6,86.6,0.0,T6
65410,PRIDE,13.4,13.4,6.0,2.6,0.6,18.0,62.7,-4.6,66.3,0.0,T5
65411,NOREG,17.8,17.8,6.4,5.8,1.4,14.2,72.5,3.6,79.1,0.8,T6
65411,DeepDarkDanger,14.2,14.2,8.6,3.2,0.4,17.8,66.7,-3.6,68.3,-0.8,T6
65412,GODSENT,17.6,17.6,8.8,4.4,1.8,10.4,81.0,7.2,93.4,-0.2,T6
65412,PRIDE,10.4,10.4,4.6,1.6,0.6,17.6,58.9,-7.2,65.3,0.2,T5
65413,Red Reserve,7.6,7.6,3.8,0.6,0.4,15.0,51.1,-7.4,55.8,-1.6,T4
65413,Kinguin,15.0,15.0,8.4,3.4,1.4,7.6,88.9,7.4,87.7,1.6,T4
65414,Red Reserve,10.6,10.6,6.2,2.2,0.6,17.6,57.9,-7.0,68.1,-2.2,T4
65414,Kinguin,17.6,17.6,9.2,3.8,1.4,10.6,84.2,7.0,93.6,2.2,T4
65415,Valiance,19.0,19.0,8.2,4.6,1.2,15.6,72.9,3.4,73.2,1.2,T4
65415,HAVU,15.6,15.6,7.4,4.0,1.4,19.2,61.4,-3.6,65.5,-1.2,T4
