team,rank
C4,T6
TeamOne,T4
eUnited,T4
FURIA,T4
YeaH!,T5
Wild,T4
Vikings,T5
Fam143,T6
Chiefs,T4
Grayhound,T4
Legacy,T5
ORDER,T4
AGO,T4
ALTERNATE aTTaX,T4
GODSENT,T6
PRIDE,T5
NOREG,T6
DeepDarkDanger,T6
Red Reserve,T4
Kinguin,T4
Valiance,T4
HAVU,T4
LDLC,T2
EURONICS,T4
EPG,T6
Windigo,T4
Tricked,T4
Playing Ducks,T6
Enyoy,T6
Syman,T4
Epiphany Bolt,T6
eXtatus,T6
Epsilon,T4
Singularity,T4
Quantum Bellator Fire,T6
Ha MaSSe,T6
fnatic Academy,T6
GameAgents,T6
Rogue,T4
Dignitas,T6
CSBL,T6
Bravado,T3
Ground Zero,T5
FaZe,T1
Envy,T4
mousesports,T1
SK,T6
NiP,T1
fnatic,T2
TYLOO,T3
Cloud9,T3
G2,T3
Natus Vincere,T1
Renegades,T2
Sprout,T4
Liquid,T1
Gambit,T3
Astralis,T1
Space Soldiers,T6
Property,T6
SuperJymy,T4
Nemiga,T4
Nexus,T4
Sinister5,T6
eNergy,T5
HEY,T6
Space Jam,T6
Royal Bandits,T6
INTZ,T4
Sharks,T4
Spirit,T4
AVANGAR,T2
k0pfsache,T6
x6tence,T6
Izako Boars,T5
TheMongolz,T6
Tainted Minds,T4
BOOT-d[S],T4
Swole Patrol,T4
Invictus Aquilas,T6
5POWER,T4
ROAR,T6
KoN Sweden,T6
KoN Denmark,T6
pro100,T4
Vega Squadron,T3
HOLLYWOOD,T5
GoodJob,T5
FlipSid3,T6
KoN Norway,T6
Bpro,T4
XPC,T6
forZe,T4
KoN Finland,T6
Virtue,T6
Bulldozer,T5
Splyce,T6
Isurus,T5
compLexity,T2
Ghost,T2
VG.Flash,T6
Fierce Tiger,T6
MVP PK,T4
SCARZ Absolute,T6
Signature,T6
Berzerk,T5
PANTHERS,T4
MeMyself&I,T6
Asterion,T6
yodelin,T6
Ignite,T6
Dark Origin,T6
Furious,T6
Great Danes,T5
W7M,T5
XCN,T5
TNC,T4
Vexed,T5
Imperial,T4
x-kom,T4
NRG,T1
FURIA Inagame,T5
Luminosity,T3
