match_id, team_name, player_name, kills, assists, flash_assists, deaths, kd_ratio, kd_diff, adr, fk_dif, rating
77491, LDLC, to1nou, 21, 4, 1, 18, 0.68, 3, 85.5, 3, 1.23
77491, LDLC, devoduvek, 13, 2, 0, 20, 0.64, -7, 73.7, -7, 0.82
77491, LDLC, ALEX, 16, 3, 0, 23, 0.52, -7, 82.8, -7, 0.79
77491, LDLC, LOGAN, 11, 1, 0, 18, 0.64, -7, 64.2, -7, 0.77
77491, LDLC, AmaNEk, 10, 1, 0, 18, 0.56, -8, 40.6, -8, 0.62
77491, G2, SmithZz, 26, 3, 3, 12, 0.84, 14, 95.7, 14, 1.58
77491, G2, kennyS, 19, 3, 0, 15, 0.8, 4, 87.1, 4, 1.38
77491, G2, shox, 16, 5, 2, 15, 0.76, 1, 72.8, 1, 1.15
77491, G2, Ex6TenZ, 16, 7, 2, 14, 0.8, 2, 79.4, 2, 1.14
77491, G2, bodyy, 19, 2, 0, 15, 0.76, 4, 74.7, 4, 1.14
77489, FaZe, olofmeister, 27, 6, 1, 19, 0.714, 8, 110.4, 8, 1.43
77489, FaZe, NiKo, 17, 3, 0, 20, 0.536, -3, 66.0, -3, 0.89
77489, FaZe, GuardiaN, 16, 1, 1, 21, 0.5, -5, 64.9, -5, 0.88
77489, FaZe, karrigan, 14, 1, 1, 24, 0.643, -10, 59.2, -10, 0.75
77489, FaZe, rain, 12, 3, 1, 24, 0.429, -12, 42.1, -12, 0.47
77489, mousesports, oskar, 31, 3, 1, 17, 0.643, 14, 118.3, 14, 1.66
77489, mousesports, ropz, 27, 2, 0, 13, 0.857, 14, 85.8, 14, 1.47
77489, mousesports, suNny, 22, 5, 2, 19, 0.679, 3, 80.5, 3, 1.22
77489, mousesports, chrisJ, 14, 4, 0, 18, 0.714, -4, 69.6, -4, 1.02
77489, mousesports, STYKO, 14, 10, 5, 19, 0.714, -5, 62.3, -5, 0.83
77487, mousesports, chrisJ, 25, 1, 0, 11, 0.9, 14, 117.7, 14, 1.96
77487, mousesports, suNny, 21, 7, 1, 8, 1.0, 13, 119.1, 13, 1.82
77487, mousesports, ropz, 17, 3, 0, 10, 0.75, 7, 88.2, 7, 1.36
77487, mousesports, oskar, 14, 2, 0, 9, 0.9, 5, 66.5, 5, 1.20
77487, mousesports, STYKO, 13, 4, 1, 10, 0.75, 3, 67.5, 3, 1.16
